주소,위도,경도
강원 정선군 임계면 백두대간로 1377,37.4965082,128.84981
강원 정선군 임계면 서동로 4682,37.496327,128.8632352
강원 정선군 신동읍 강원남로 4182,37.2702964,128.6724422
강원 정선군 임계면 서동로 5584,37.5311915,128.9263836
강원 정선군 사북읍 소금강로 3283,37.2369121,128.8608104
강원 정선군 사북읍 사북중앙로 83,37.2268923,128.8235019
강원 정선군 임계면 백두대간로 35,37.3960408,128.8669955
강원 정선군 화암면 소금강로 538,37.3120523,128.8132374
강원 정선군 북평면 오대천로 564,37.4696216,128.6191448
강원 정선군 신동읍 의림로 60,37.2004199,128.6332317
강원 정선군 북평면 오대천로 326,37.45770479999999,128.6307478
강원 정선군 여량면 서동로 2783,37.4745064,128.7141613
강원도 정선군 임계면 서동로 4570 ,37.4941202,128.8513413
강원 정선군 정선읍 서동로 1199,37.396494,128.665836
강원 정선군 남면 강원남로 5284,37.249839,128.7788558
강원 정선군 정선읍 서동로 1348,37.4058096,128.6734232
강원 정선군 정선읍 애산로 1,37.3724686,128.6697819
강원 정선군 신동읍 강원남로 4123,37.2673869,128.6712346
강원 철원군 철원읍 금학로 469,38.2287699,127.2121366
강원 철원군 동송읍 태봉로 1952,38.1925207,127.275605
강원 철원군 근남면 하오재로 2084,38.2399827,127.4715274
강원 철원군 갈말읍 호국로 4532,38.1282752,127.2994527
강원 철원군 동송읍 이평로 7,38.2106196,127.2231265
강원 철원군 동송읍 오덕로 274,38.2315556,127.2401317
강원 철원군 갈말읍 갈말로 7,38.1832497,127.2999951
강원 철원군 갈말읍 호국로 5007,38.1667081,127.3158675
강원 철원군 서면 금강로 7645,38.2014854,127.4214445
강원 철원군 갈말읍 태봉로 1421,38.1844826,127.3334603
강원 철원군 서면 와수로 341,38.2503329,127.4497585
강원 철원군 갈말읍 호국로 5155,38.1766184,127.3264202
강원 철원군 철원읍 금학로357번길 2,38.2191497,127.2105422
강원 철원군 서면 자등로 562,38.1631361,127.4108235
강원 철원군 동송읍 태봉로 2202,38.2067852,127.2552535
강원 철원군 동송읍 금학로 173,38.2044996,127.2198941
강원 철원군 갈말읍 청양로 19,38.22984890000001,127.3471434
강원 철원군 갈말읍 호국로 4931,38.1607708,127.3118629
강원 철원군 서면 와수1로 40,38.2404431,127.4374247
강원 철원군 동송읍 금학로 14,38.1919237,127.2284303
강원 철원군 서면 와수1로 17,38.2383427,127.4364334
강원 춘천시 공지로 49 ,37.8518309,127.7515371
강원 춘천시 동내면 영서로 1432 춘천휴게소SK주유소,37.81155529999999,127.7658016
강원 춘천시 신동면 경춘로 1757,37.8230457,127.6947851
강원 춘천시 후석로 400,37.886432,127.7459968
강원 춘천시 동내면 순환대로 758,37.8480412,127.7715564
강원 춘천시 소양로 206 ,37.8913304,127.726122
강원 춘천시 후석로 322 ,37.87979869999999,127.7502529
강원 춘천시 후석로 239 ,37.8728291,127.7522918
강원 춘천시 후석로 453 ,37.88933,127.741604
강원 춘천시 영서로 2997 ,37.9195702,127.7207899
강원 춘천시 서면 경춘로 701,37.8352313,127.5882349
강원도 춘천시 동내면 춘천순환로 59,37.8558135,127.7502668
강원 춘천시 서면 경춘로 629,37.837058,127.5804173
강원 춘천시 경춘로 2039 ,37.8364342,127.7134519
강원 춘천시 서면 서상로 387,37.9509866,127.6932211
강원 춘천시 효자로 150,37.8758307,127.7358346
강원 춘천시 춘천로 40,37.868155,127.7233527
강원 춘천시 동면 후만로 137,37.8781997,127.7594615
강원 춘천시 충열로 65 ,37.89994069999999,127.7344374
강원 춘천시 옛경춘로 721,37.8617708,127.7067883
강원 춘천시 사북면 춘화로 536,37.98779650000001,127.7099714
강원 춘천시 남산면 강촌로 395-1,37.7866063,127.6486086
강원 춘천시 남산면 종자리로 28,37.7441,127.7132397
강원 춘천시 퇴계로 73,37.8633135,127.7290057
강원 춘천시 후석로 396 ,37.8854625,127.7468301
강원 춘천시 서면 경춘로 969,37.8298949,127.6172019
강원 춘천시 동내면 순환대로 660,37.8409622,127.7648895
강원 춘천시 충열로 314 ,37.92059769999999,127.7398284
강원 춘천시 공지로 443,37.8735957,127.7181389
강원 춘천시 영서로 3100,37.9286903,127.721951
강원도 춘천시 경춘로 2155,37.846902,127.7144556
강원 춘천시 신동면 경춘로 1766,37.8221593,127.6952113
강원도 춘천시 서면 박사로 883,37.895886,127.6901697
강원 춘천시 영서로 51,37.7443028,127.826922
강원 춘천시 동내면 학곡동2길 11,37.8377382,127.7603768
강원 춘천시 경춘로 2137,37.8454088,127.7140069
강원 춘천시 동면 순환대로 1077,37.8760791,127.7765896
강원 춘천시 동면 후만로 162,37.878681,127.762229
강원 춘천시 동면 만천로 139,37.8822199,127.7589584
강원 춘천시 동내면 세실로 38,37.8607243,127.7594523
강원 춘천시 서면 박사로 1266,37.9216102,127.71074
강원 춘천시 신동면 경춘로 1936,37.8278988,127.7101906
강원 춘천시 신북읍 신샘밭로 586,37.9300773,127.7747837
강원 춘천시 신동면 순환대로 316,37.8229855,127.7394876
강원 춘천시 신북읍 율문길 71,37.9259492,127.7457244
